,,,,,
,,,,,
,,File,Tool,Method_Name,Prompt(s) Used
,,test/factories,ChatGPT,FactoryBot.define,"My prompt was regarding a ""generate model"" command error. Apparently, the fix was to edit the broken autogenerated factory files so after that, I initialized fields with examples from data dict."
,,app/models/store.rb,Copilot In-line Suggestion,normalize_phone,Accepted suggestion
,,,,,
,,,,,
,,app/models/employee.rb,Copilot In-line Suggestion,scope :search,Accepted suggestion and revised to account for starts with or matches
,,,Copilot In-line Suggestion,current_assignment,Accepted suggestion
,,,Copilot In-line Suggestion,set_default_role,Accepted suggestion
,,,Copilot In-line Suggestion,at_least_14_years_old,Accepted suggestion
,,,Copilot In-line Suggestion,normalize_phone,Accepted suggestion
,,,Copilot In-line Suggestion,normalize_ssn,Accepted suggestion
,,,,,
,,app/models/assignments.rb,ChatGPT,scope :for_role,return all assignments of a given employee
,,,ChatGPT,scope :for_date,return all active assignments on a date
,,,Copilot,start_date_valid_time,Accepted Suggestion
,,,Copilot,store_active,Accepted Suggestion
,,,ChatGPT (revised),end_previous_assignment,end employee's current assignment if a new one is created (i revised for the end date to be equal to new start_date)
,,,,,
,,test/models/store_test.rb,ChatGPT,"should ""normalize phone",create the shoulda block for the test callback for normalize_phone
,,,ChatGPT,"should ""normalize ssn",create the shoulda block for the test callback for normalize_ssn
,,,,,
,,test/models/employee_test.rb,ChatGPT,"should ""accept valid roles",create the shoulda block for roles validity
,,,,"should ""strip non-digits from phone and ssn on save",create the shoulda block for phone-ssn strip
,,,,"should ""require ssn to be unique""",create the shoulda block for ssn uniqueness
,,,,"should ""order employees alphabetically by last name then first name""",pasted should header